BOS,2
EOS,3
.,4
i,5
the,6
to,7
you,8
a,9
is,10
?,11
he,12
n't,13
do,14
in,15
it,16
of,17
tom,18
she,19
's,20
my,21
have,22
me,23
",",24
this,25
for,26
was,27
that,28
we,29
are,30
what,31
your,32
on,33
at,34
his,35
like,36
not,37
with,38
be,39
her,40
did,41
'm,42
can,43
there,44
go,45
him,46
will,47
has,48
and,49
very,50
they,51
how,52
know,53
want,54
as,55
'll,56
up,57
please,58
here,59
time,60
all,61
from,62
had,63
an,64
by,65
good,66
should,67
would,68
about,69
does,70
no,71
come,72
get,73
out,74
mary,75
am,76
english,77
ca,78
've,79
when,80
think,81
school,82
been,83
got,84
could,85
were,86
where,87
if,88
take,89
're,90
let,91
going,92
made,93
book,94
now,95
car,96
see,97
some,98
us,99
father,100
last,101
one,102
day,103
than,104
so,105
home,106
work,107
who,108
'd,109
help,110
just,111
tomorrow,112
need,113
why,114
much,115
any,116
every,117
our,118
yesterday,119
always,120
but,121
more,122
went,123
better,124
many,125
!,126
money,127
too,128
today,129
really,130
room,131
people,132
house,133
two,134
long,135
must,136
tell,137
new,138
speak,139
mother,140
make,141
back,142
may,143
gave,144
old,145
right,146
never,147
say,148
lot,149
something,150
anything,151
man,152
night,153
give,154
years,155
next,156
children,157
after,158
eat,159
well,160
before,161
play,162
put,163
or,164
into,165
three,166
asked,167
look,168
little,169
``,170
'',171
off,172
morning,173
said,174
over,175
late,176
letter,177
hard,178
down,179
took,180
keep,181
train,182
stay,183
japan,184
love,185
still,186
told,187
their,188
dog,189
soon,190
brother,191
only,192
year,193
way,194
study,195
came,196
often,197
leave,198
used,199
bus,200
around,201
them,202
call,203
away,204
bought,205
read,206
french,207
nothing,208
beautiful,209
door,210
wish,211
friends,212
ten,213
water,214
boy,215
left,216
party,217
again,218
first,219
week,220
big,221
station,222
teacher,223
job,224
married,225
afraid,226
likes,227
best,228
problem,229
these,230
japanese,231
name,232
reading,233
plan,234
sister,235
buy,236
other,237
believe,238
heard,239
understand,240
found,241
tennis,242
cold,243
which,244
happy,245
doing,246
live,247
books,248
friend,249
doctor,250
life,251
talk,252
playing,253
wait,254
rain,255
because,256
wanted,257
ask,258
busy,259
feel,260
watch,261
wo,262
coffee,263
lost,264
wants,265
turn,266
enough,267
drink,268
wrong,269
open,270
looks,271
looking,272
remember,273
finished,274
find,275
while,276
seen,277
o'clock,278
already,279
use,280
meeting,281
swim,282
saw,283
hear,284
answer,285
easy,286
ago,287
without,288
girl,289
care,290
early,291
once,292
try,293
same,294
dinner,295
weather,296
done,297
tired,298
bed,299
everyone,300
sure,301
ever,302
five,303
someone,304
days,305
sunday,306
arrived,307
young,308
drive,309
mind,310
nice,311
yourself,312
stop,313
homework,314
hope,315
walk,316
everything,317
show,318
river,319
lives,320
eating,321
able,322
yet,323
london,324
tonight,325
parents,326
boston,327
getting,328
sorry,329
being,330
goes,331
person,332
anyone,333
write,334
almost,335
coming,336
knows,337
another,338
truth,339
matter,340
those,341
music,342
interesting,343
things,344
happened,345
tv,346
park,347
difficult,348
lived,349
food,350
fire,351
thought,352
six,353
place,354
uncle,355
few,356
true,357
shoes,358
piano,359
baby,360
hot,361
alone,362
month,363
lunch,364
son,365
bad,366
hours,367
minutes,368
bicycle,369
meet,370
child,371
sick,372
accident,373
high,374
times,375
great,376
important,377
table,378
idea,379
world,380
working,381
makes,382
desk,383
mine,384
comes,385
camera,386
snow,387
class,388
sometimes,389
under,390
studying,391
student,392
himself,393
question,394
students,395
usually,396
agree,397
family,398
breakfast,399
police,400
looked,401
become,402
swimming,403
far,404
questions,405
dress,406
flowers,407
city,408
since,409
tokyo,410
until,411
most,412
picture,413
thank,414
sleep,415
eyes,416
country,417
quite,418
advice,419
baseball,420
large,421
office,422
met,423
everybody,424
pay,425
kind,426
free,427
between,428
caught,429
even,430
afternoon,431
radio,432
such,433
thing,434
having,435
america,436
living,437
says,438
daughter,439
angry,440
learn,441
fun,442
window,443
near,444
pretty,445
each,446
garden,447
street,448
change,449
red,450
woman,451
tall,452
short,453
evening,454
hair,455
seems,456
hand,457
language,458
dollars,459
called,460
story,461
waiting,462
abroad,463
broke,464
bring,465
cat,466
visit,467
business,468
word,469
hotel,470
game,471
both,472
news,473
milk,474
run,475
smoking,476
health,477
own,478
wrote,479
apple,480
older,481
lend,482
bit,483
pen,484
myself,485
decided,486
hour,487
dictionary,488
fish,489
fell,490
light,491
point,492
died,493
hospital,494
through,495
sense,496
tea,497
speaking,498
then,499
miss,500
phone,501
happen,502
across,503
pictures,504
opinion,505
hurry,506
talking,507
nobody,508
gets,509
watching,510
hands,511
wife,512
yours,513
pass,514
apples,515
longer,516
dark,517
ran,518
kept,519
whether,520
full,521
knew,522
summer,523
telephone,524
studied,525
else,526
strong,527
trip,528
trouble,529
others,530
ready,531
wonder,532
takes,533
box,534
small,535
tree,536
worked,537
stayed,538
present,539
tried,540
seeing,541
helped,542
together,543
mistake,544
later,545
chinese,546
listen,547
kyoto,548
library,549
age,550
chance,551
dangerous,552
quit,553
stand,554
computer,555
quiet,556
medicine,557
four,558
clean,559
poor,560
mt,561
several,562
speaks,563
soccer,564
sing,565
yen,566
feeling,567
wearing,568
born,569
began,570
loves,571
listening,572
might,573
lake,574
herself,575
birthday,576
juice,577
umbrella,578
hat,579
number,580
cook,581
death,582
easily,583
success,584
start,585
taking,586
taxi,587
wash,588
pencil,589
college,590
mistakes,591
raining,592
lie,593
spent,594
enjoyed,595
wine,596
became,597
enjoy,598
plays,599
weight,600
sundays,601
paris,602
airport,603
glasses,604
movie,605
bank,606
against,607
saying,608
famous,609
song,610
along,611
catch,612
american,613
fuji,614
mountain,615
written,616
fast,617
visited,618
driving,619
sky,620
dogs,621
worth,622
test,623
felt,624
started,625
air,626
deal,627
turned,628
interested,629
send,630
during,631
guitar,632
hokkaido,633
close,634
talked,635
seven,636
played,637
grandfather,638
town,639
favorite,640
company,641
learning,642
running,643
bag,644
driver,645
making,646
plane,647
none,648
aunt,649
front,650
eaten,651
mean,652
earlier,653
sit,654
address,655
behind,656
university,657
begin,658
rather,659
rich,660
hurt,661
black,662
worry,663
clothes,664
staying,665
hit,666
vacation,667
cake,668
cooking,669
dead,670
end,671
stupid,672
bird,673
arm,674
stopped,675
grow,676
travel,677
forgot,678
either,679
movies,680
christmas,681
law,682
paper,683
forget,684
accept,685
cost,686
york,687
weekend,688
possible,689
wear,690
outside,691
glad,692
wonderful,693
horse,694
wall,695
offer,696
floor,697
spoken,698
heavy,699
asleep,700
building,701
concert,702
speech,703
brought,704
younger,705
foreign,706
invited,707
check,708
maybe,709
newspaper,710
worse,711
proud,712
passed,713
blue,714
eight,715
seat,716
information,717
monday,718
australia,719
languages,720
writing,721
finish,722
walked,723
store,724
white,725
worried,726
dream,727
quickly,728
cry,729
won,730
follow,731
europe,732
attend,733
fine,734
coat,735
carry,736
exam,737
smoke,738
cut,739
exactly,740
ought,741
expect,742
storm,743
missed,744
half,745
changed,746
kitchen,747
proposal,748
salt,749
forward,750
ticket,751
walking,752
men,753
safe,754
touch,755
winter,756
anybody,757
arrive,758
road,759
pick,760
club,761
absent,762
break,763
set,764
team,765
canada,766
trust,767
gone,768
shut,769
guys,770
key,771
rest,772
problems,773
move,774
harder,775
bread,776
side,777
prefer,778
facebook,779
